time,open,high,low,close,volume
1764007200,1.1518,1.15292,1.15172,1.15216,10894
1764021600,1.15218,1.15301,1.15188,1.15258,9683
1764036000,1.1526,1.15303,1.15116,1.15168,11597
1764050400,1.15169,1.15368,1.15148,1.15341,23367
1764064800,1.15339,1.15624,1.15247,1.15582,33490
1764079200,1.15582,1.15841,1.155,1.15824,41413
1764093600,1.15826,1.15861,1.1558,1.15697,18577
1764108000,1.15706,1.15832,1.15633,1.15772,14776
1764122400,1.15772,1.15916,1.15748,1.15909,17122
1764136800,1.1591,1.1596,1.15656,1.1572,25701
1764151200,1.1572,1.15842,1.15484,1.15525,42152
1764165600,1.15524,1.16009,1.15471,1.1593,36068
1764180000,1.15931,1.15974,1.15894,1.15963,13499
1764194400,1.15935,1.16126,1.15924,1.16092,10350
1764208800,1.16092,1.16136,1.16,1.16022,13711
1764223200,1.16023,1.16054,1.15766,1.15776,20030
1764237600,1.15776,1.1597,1.15772,1.1595,17818
1764252000,1.1595,1.16016,1.15904,1.15951,12800
1764266400,1.15952,1.15972,1.15913,1.1596,4188
1764280800,1.15962,1.1602,1.15817,1.15833,10577
1764295200,1.15834,1.15938,1.15816,1.15895,33547
1764309600,1.15894,1.15907,1.15666,1.15688,59718
1764324000,1.15688,1.15787,1.15553,1.15748,46947
1764338400,1.15748,1.16076,1.15712,1.16028,36276
1764352800,1.16028,1.16046,1.15957,1.15985,12028
1764540000,1.15938,1.1616,1.15927,1.16052,19367
1764554400,1.16052,1.16058,1.15894,1.1598,15179
1764568800,1.15978,1.16236,1.15904,1.16222,28772
1764583200,1.16224,1.16526,1.1619,1.16449,27655
1764597600,1.16448,1.16452,1.16178,1.16207,35208
1764612000,1.16208,1.16236,1.16066,1.16092,13580
1764626400,1.16104,1.16112,1.16038,1.16092,6764
1764640800,1.16092,1.16142,1.16072,1.161,7869
1764655200,1.161,1.16164,1.16024,1.16102,18926
1764669600,1.16103,1.16196,1.15984,1.16176,22220
1764684000,1.16176,1.16233,1.15912,1.16072,35259
1764698400,1.16072,1.1626,1.16056,1.16254,13839
1764712800,1.16242,1.16376,1.16211,1.16368,8359
1764727200,1.16369,1.16438,1.16354,1.16427,9857
1764741600,1.16428,1.16528,1.16358,1.16456,23033
1764756000,1.16458,1.16755,1.1645,1.16664,26057
1764770400,1.16664,1.16709,1.16546,1.16686,37436
1764784800,1.16687,1.16778,1.16643,1.16714,12487
1764799200,1.16716,1.16754,1.16589,1.16633,8791
1764813600,1.16634,1.1664,1.16534,1.16598,12812
1764828000,1.166,1.1682,1.16531,1.16777,24334
1764842400,1.16778,1.1681,1.1652,1.16648,28456
1764856800,1.1665,1.16771,1.16531,1.16562,30079
1764871200,1.16562,1.16599,1.1641,1.16449,14358
1764885600,1.16464,1.16538,1.16412,1.16536,7490
1764900000,1.16537,1.16592,1.16466,1.16592,9655
1764914400,1.16592,1.16718,1.16483,1.16545,22015
1764928800,1.16546,1.1657,1.16416,1.16518,22495
1764943200,1.16518,1.16602,1.1628,1.16442,36668
1764957600,1.16443,1.16486,1.16399,1.16438,11829
1765144800,1.16401,1.16532,1.16395,1.16518,13140
1765159200,1.16518,1.16564,1.16488,1.16562,12012
1765173600,1.16562,1.16722,1.16479,1.16488,24647
1765188000,1.16486,1.16576,1.16456,1.16484,24336
1765202400,1.16484,1.16548,1.16165,1.16392,34341
1765216800,1.16392,1.16422,1.16344,1.1637,13063
1765231200,1.16352,1.16476,1.16352,1.16472,9151
1765245600,1.16471,1.16506,1.16438,1.1649,10214
1765260000,1.16486,1.16573,1.16337,1.16524,21068
1765274400,1.16524,1.16543,1.1629,1.16346,23651
1765288800,1.16346,1.16412,1.16151,1.16242,34594
1765303200,1.1624,1.16322,1.16169,1.16266,11312
1765317600,1.16275,1.16296,1.16224,1.16238,7819
1765332000,1.16237,1.1631,1.16216,1.163,9041
1765346400,1.16298,1.16578,1.16286,1.16365,21401
1765360800,1.16364,1.16424,1.16276,1.16402,21027
1765375200,1.16402,1.16604,1.16338,1.16588,25878
1765389600,1.16587,1.16998,1.1647,1.16958,55891
1765404000,1.16928,1.17074,1.16898,1.17017,12881
1765418400,1.17018,1.17062,1.16846,1.16854,12249
1765432800,1.16854,1.17066,1.16823,1.17022,21962
1765447200,1.17022,1.17364,1.16989,1.17311,25253
1765461600,1.1731,1.17628,1.17303,1.17552,32418
1765476000,1.17552,1.17594,1.17365,1.17386,14207
1765490400,1.17388,1.17462,1.17325,1.17349,10340
1765504800,1.17348,1.17394,1.17312,1.17386,9840
1765519200,1.17386,1.17434,1.1727,1.17328,20963
1765533600,1.17328,1.17352,1.17196,1.17272,18013
1765548000,1.17272,1.17482,1.17232,1.17478,28200
1765562400,1.17478,1.17498,1.17354,1.17403,13888
1765749600,1.1733,1.17425,1.17286,1.17414,9408
1765764000,1.17414,1.17448,1.17318,1.17344,12526
1765778400,1.17343,1.17436,1.17265,1.17434,20334
1765792800,1.17434,1.17598,1.17392,1.17474,16030
1765807200,1.17473,1.1769,1.17441,1.17459,29699
1765821600,1.17458,1.17541,1.17384,1.17539,10729
1765836000,1.17521,1.1758,1.17466,1.17519,10900
1765850400,1.1752,1.17592,1.17494,1.17505,9103
1765864800,1.17504,1.17642,1.17444,1.17561,18545
1765879200,1.17562,1.17948,1.17517,1.17758,33070
1765893600,1.17758,1.18042,1.17612,1.17639,36547
1765908000,1.17639,1.17639,1.17346,1.1748,19022
1765922400,1.17476,1.17524,1.17452,1.17474,8728
1765936800,1.17473,1.1748,1.1725,1.17292,12849
1765951200,1.17291,1.17306,1.17031,1.17162,26967
1765965600,1.1716,1.17332,1.17078,1.17318,24608
1765980000,1.17318,1.17582,1.17283,1.17494,30686
1765994400,1.17494,1.17556,1.17384,1.17401,12009
1766008800,1.17408,1.17458,1.17352,1.17386,8136
1766023200,1.17386,1.17469,1.17368,1.17459,8878
1766037600,1.17458,1.17497,1.17173,1.1722,18899
1766052000,1.17218,1.17628,1.17124,1.17468,33539
1766066400,1.17468,1.17558,1.17153,1.17188,42938
1766080800,1.17189,1.17278,1.17154,1.17236,12185
1766095200,1.17203,1.17288,1.17203,1.17244,9335
1766109600,1.17243,1.17287,1.17156,1.172,10069
1766124000,1.172,1.17216,1.17033,1.17122,23863
1766138400,1.17124,1.17194,1.17024,1.17194,21236
1766152800,1.17194,1.17378,1.17084,1.17192,27576
1766167200,1.17193,1.17273,1.17062,1.17096,11735
1766354400,1.17196,1.17196,1.17064,1.17172,13829
1766368800,1.17172,1.17221,1.17136,1.17174,6980
1766383200,1.17172,1.17384,1.1713,1.173,16425
1766397600,1.17301,1.17546,1.17286,1.17506,20261
1766412000,1.17507,1.17694,1.17451,1.17582,21494
1766426400,1.17582,1.17623,1.17489,1.17619,9237
1766440800,1.1758,1.17761,1.17571,1.1773,11961
1766455200,1.17733,1.17806,1.17726,1.17751,10197
1766469600,1.17753,1.1793,1.17686,1.17928,20424
1766484000,1.17928,1.18022,1.17743,1.17748,21506
1766498400,1.17748,1.17804,1.1764,1.1771,26654
1766512800,1.17708,1.1797,1.17696,1.17934,10978
1766527200,1.17927,1.18064,1.17904,1.18053,9500
1766541600,1.18054,1.1808,1.17858,1.17992,10334
1766556000,1.1799,1.1804,1.17798,1.17998,20094
1766570400,1.17997,1.18001,1.17836,1.17853,20511
1766584800,1.17852,1.1787,1.17726,1.17768,22374
1766599200,1.17767,1.17822,1.17744,1.1777,6349
1766700000,1.17805,1.1792,1.17767,1.17872,21220
1766714400,1.17873,1.17936,1.178,1.17862,9688
1766728800,1.17863,1.1788,1.17666,1.17703,20496
1766743200,1.17701,1.17968,1.1769,1.17914,18855
1766757600,1.17916,1.17946,1.17616,1.17702,31012
1766772000,1.17704,1.17818,1.17658,1.1771,18963
1766959200,1.1768,1.17864,1.17654,1.17842,10811
1766973600,1.1784,1.17853,1.17537,1.1756,10535
1766988000,1.17562,1.17891,1.17542,1.17764,22083
